"Canada Standard","加拿大标准"
"Gateway XML URL","网关 XML URL"
"Gateway URL","网关地址"
"User ID","用户编号"
"UserId","用户编号"
"Request Courier","申请快递"
"Machinable","电脑可读"
"Destination type","目的地类型"
"DHL","DHL"
"Invalid DHL XML code for type %s: %s","DHL XML 代码不正确，类型 %s: %s"
"Invalid DHL XML code type: %s","DHL XML 代码类型不正确：%s"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Next Afternoon","隔日下午"
"Next Day Air","隔日空运送达"
"Next Day Air Letter","隔日空运送达信件"
"Next Day Air Early AM","隔日空运早上送达"
"Next Day Air Early AM Letter","隔日空运早上送达信件"
"Non-rectangular","非矩形"
"Additional Protection Value","额外保护价格"
"Additional Protection Value Rounding Method","额外保护价格舍入法"
"Additional Protection Configuration Value","额外保护配置值"
"Additional Protection Min Subtotal","额外保护最低金额"
"Calculate Handling Fee","计算手续费"
"Order","订单"
"Access ID","访问编号"
"Access license number","访问许可号"
"Please enter the package weight","请输入包裹重量"
"Oversize","超大"
"Default Package Width","默认包裹宽度"
"Default Package Height","默认包裹高度"
"Default Package Length","默认包裹长度"
"To lower","舍去小数"
"To upper","舍去小数并进位"
"Station","邮局"
"Parcel Post","邮包"
"Error #%s : %s (%s)","错误号%s : %s (%s)"
"Error #%s: %s","错误号%s: %s"
"Weight Unit","重量单位"
"Configuration","配置"
"Shipment type","配送类型"
"Shipment picked up","配送收货"
"Residential Delivery","送货上门"
"Ground","陆运"
"FedEx","FedEx"
"Invalid FedEx XML code for type %s: %s","FedEx XML 代码不正确，类型 %s: %s"
"Invalid FedEx XML code type: %s","FedEx XML 代码类型不正确：%s"
"FedEx 10kg Box","FedEx10公斤快递箱"
"FedEx 25kg Box","FedEx25公斤快递箱"
"FedEx Envelope","FedEx快递封"
"FedEx Tube","FedEx快递筒"
"FedEx Box","FedEx快递盒"
"FedEx Pak","FedEx快递袋"
"Shipper Number","Shipper Number"
"UPS","UPS"
"UPS Second Day Air","UPS 两日空运送达"
"UPS Second Day Air A.M.","UPS 两日空运清晨送达"
"UPS Three-Day Select","UPS 三日内送达"
"UPS Next Day Air Saver","UPS 优捷隔日空运送达"
"UPS Today Dedicated Courrier","UPS 当日特快邮件"
"UPS Today Intercity","UPS 当日送达同城快递"
"UPS Today Express Saver","UPS 当日送达优捷快递"
"UPS Today Express","UPS 当日送达快递"
"UPS Today Standard","UPS 当日标准特快"
"UPS Letter Envelope","UPS 信封"
"UPS Tube","UPS 快递筒"
"UPS Worldwide 10 kilo","UPS 全球快递10公斤"
"UPS Worldwide 25 kilo","UPS 全球快递25公斤"
"UPS Expedited","UPS 全球快捷"
"UPS Worldwide Expedited","UPS 全球快捷"
"UPS Express","UPS 全球特快"
"UPS Worldwide Express","UPS 全球特快"
"UPS Worldwide Express PlusSM","UPS 全球特快加急"
"UPS Worldwide Express Plus","UPS 全球特急快递"
"Invalid UPS CGI code for type %s: %s","UPS CGI 代码不正确，类型 %s: %s"
"Invalid UPS CGI code type: %s","UPS CGI 代码类型不正确：%s"
"UPS type","UPS 类型"
"UPS Saver","UPS 经济型快递"
"UPS Express Plus","UPS 特快加急"
"UPS Express Box","UPS 特快箱"
"UPS Next Day Air","UPS 隔日空运送达"
"UPS Next Day Air Early A.M.","UPS 隔日空运清晨送达"
"UPS Ground","UPS 陆运"
"UPS Standard","UPS 标准快递"
"UPS Express Early A.M.","UPS 清早特快"
"United Parcel Service","UPS联合包裹"
"United Parcel Service XML","UPS联合包裹XML"
"USPS","USPS"
"Invalid USPS XML code for type %s: %s","USPS XML 代码不正确，类型 %s: %s"
"Invalid USPS XML code type: %s","USPS XML 代码类型不正确：%s"
"Subtotal With Discount","折扣后总额"
"Tracking XML URL","查询 XML URL"
"Sort order","排序"
"Standard Overnight","标准次晨达"
"Title","标题"
"Second Day Service","次日服务"
"First Overnight","次晨达"
"Priority Overnight","次晨达快件"
"Europe First Priority","欧洲第一优先"
" was not delivered nor scanned","没有交货也未检查"
"Unknown error","未知错误"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","最大包裹重量（请咨询配送公司）"
"Yes","是"
"Show method if not applicable","显示所有方式"
"Cannot retrieve shipping rates","无法获取运费费率"
"Unable to retrieve tracking","无法查询"
"Your Packaging","您的包装"
"Drop Box","收件箱"
"Dropoff","收货"
"Receiver","收货人"
"Handling fee","手续费"
"Handling Applied","手续费基准"
"There is no available method for selected shipping address.","所选配送地址没有可用的配送方式。"
"All Services","所有服务"
"Subtotal","总额"
"Regular","普通"
"Regular Pickup","普通取件"
